,省份,高风险,中风险
0,陕西省,雁塔区小寨路街道长安中路33号长安大学校本部住宅区和北院宿舍区,
1,陕西省,,碑林区柏树林街道东大街130号阳光秦大酒店家属院
2,陕西省,,碑林区太乙路街道常春藤花园东区1号楼
3,陕西省,,碑林区文艺路街道自由自宅小区B座
4,陕西省,,碑林区长安路街道大话南门小区5号楼
5,陕西省,,碑林区长安路街道骊马豪城小区F座
6,陕西省,,碑林区张家村街道大学东路66号院80号民房
7,陕西省,,碑林区张家村街道九锦台小区12号楼
8,陕西省,,碑林区张家村街道西安医学院含光校区家属院7号楼
9,陕西省,,灞桥区纺织城街道电建四公司家属院宿舍楼
10,陕西省,,灞桥区红旗街道恒大绿洲小区24号楼
11,陕西省,,灞桥区洪庆街道庆华长安家园11号楼
12,陕西省,,灞桥区席王街道电厂西路尚东国际城10号楼
13,陕西省,,浐灞生态区玄武东路华远海蓝城27号楼
14,陕西省,,浐灞生态区长鸣路恒大御龙湾小区2号楼
15,陕西省,,国际港务区京东亚洲一号员工宿舍
16,陕西省,,国际港务区新筑街道潘罗村
17,陕西省,,国际港务区新筑街道西航花园A区80号楼
18,陕西省,,高新路丈八街道80号领先心城B栋
19,陕西省,,高新路丈八街道云顶园小区1号楼
20,陕西省,,高新区电子城街道糜家桥小区18号楼
21,陕西省,,高新区鱼化寨街道科技四路鸿基新城祥园20号楼
22,陕西省,,高新区丈八沟街道高新6路绿港花园
23,陕西省,,高新区丈八街道保利天悦3期7号楼
24,陕西省,,高新区丈八街道高科尚都2号楼
25,陕西省,,高新区丈八街道高新三路2号海佳云顶B座
26,陕西省,,高新区丈八街道鸿基新城沁园16号楼
27,陕西省,,高新区丈八街道晶城秀府3号楼
28,陕西省,,高新区丈八街道科技三路夏日景色2期8号楼
29,陕西省,,高新区丈八街道龙城铭园2期17号楼、27号楼
30,陕西省,,高新区丈八街道绿地世纪城23号楼
31,陕西省,,高新区丈八街道罗马景福城3号楼
32,陕西省,,高新区丈八街道名城天下6号楼
33,陕西省,,高新区丈八街道木塔路香榭兰庭1号楼
34,陕西省,,高新区丈八街道双水磨小区6号楼
35,陕西省,,高新区丈八街道西辛庄小区14号楼
36,陕西省,,高新区丈八街道丈八北路茶张馨苑小区8号楼
37,陕西省,,航天基地聚福苑小区5号楼
38,陕西省,,航天基地智慧谷小区1号楼
39,陕西省,,鄠邑区甘亭街道凤凰新天地2号楼
40,陕西省,,鄠邑区玉蝉街道胡家庄村
41,陕西省,,鄠邑区玉蝉街道龙家寨村
42,陕西省,,鄠邑区玉蝉街道刘家庄村郑家庄小组
43,陕西省,,鄠邑区玉蝉街道丈南村
44,陕西省,,经开区北二环佳家花园小区9号楼
45,陕西省,,经开区凤城五路海璟时代小区7号楼
46,陕西省,,经开区长安大学渭水校区住宅小区10号楼
47,陕西省,,莲湖区红庙坡街道大兴九臻小区6号楼
48,陕西省,,莲湖区红庙坡街道文景南路红东花园1号楼
49,陕西省,,莲湖区土门街道富力学府7号楼
50,陕西省,,莲湖区土门街道惠南社区西石围小区
51,陕西省,,莲湖区自强路街道泊澜地小区3号楼
52,陕西省,,莲湖区枣园街道汉城壹号小区2期6号楼
53,陕西省,,莲湖区枣园街道莱茵小城8号楼
54,陕西省,,莲湖区枣园街道中堡子社区D2楼
55,陕西省,,曲江新区保利春天里社区保障性住房中心乐居小区7号楼
56,陕西省,,曲江新区曲江公馆和园4号楼
57,陕西省,,曲江新区中海城9号楼
58,陕西省,,曲江新区中铁国际城17号楼
59,陕西省,,曲江新区中冶一曲江山社区海天华庭5号楼
60,陕西省,,未央区谭家街道红旗社区17号楼
61,陕西省,,未央区未央宫街道海璟台北湾南区6号楼
62,陕西省,,未央区未央湖街道翰林北苑小区5号楼
63,陕西省,,新城区太华路街道八府庄小区9号楼
64,陕西省,,新城区西一路街道尚朴路10号家属院5号楼
65,陕西省,,西咸新区沣东新城上林街道奥林匹克花园小区E3栋
66,陕西省,,西咸新区沣东新城上林街道白桦林印象小区2号楼
67,陕西省,,西咸新区沣东新城上林街道沣景公寓1号楼
68,陕西省,,西咸新区沣东新城三桥北沙口村7号楼
69,陕西省,,西咸新区沣东新城三桥街道恒大都市广场4号楼、9号楼
70,陕西省,,西咸新区沣东新城三桥街道加贝花园12号楼
71,陕西省,,西咸新区沣东新城三桥街道蓝光公园华府1期1号楼
72,陕西省,,西咸新区沣东新城三桥街道石家花园小区2号楼
73,陕西省,,西咸新区沣西新城马王街道客省庄
74,陕西省,,西咸新区秦汉新城渭城街道渭城湾村
75,陕西省,,西咸新区上林街道世纪大道国润城16号楼
76,陕西省,,雁塔区杜城街道融创珑府5号楼
77,陕西省,,雁塔区大雁塔街道城南锦绣小区B座
78,陕西省,,雁塔区电子城街道枫叶高层43号楼
79,陕西省,,雁塔区电子城街道科创路沙井村
80,陕西省,,雁塔区电子城街道唐园小区12号楼
81,陕西省,,雁塔区电子城街道万象春天10号楼
82,陕西省,,雁塔区电子城街道中国航天771家属院15号楼
83,陕西省,,雁塔区电子城街道子午大道江林新城D区3号楼
84,陕西省,,雁塔区韩森寨街道康宁路9号康宁小区5号楼
85,陕西省,,雁塔区小寨路街道罗家寨村
86,陕西省,,雁塔区小寨路街道雅荷翠华小区3号楼
87,陕西省,,雁塔区丈八街道北沈新世纪北区三号楼
88,陕西省,,雁塔区丈八街道科技二路古晋食府商住楼1号楼
89,陕西省,,雁塔区丈八街道科技六路4号香榭兰岛小区
90,陕西省,,雁塔区漳浒寨街道中航华府小区6号楼
91,陕西省,,雁塔区长延堡街道华城万象小区10号楼
92,陕西省,,雁塔区长延堡街道铭城16号1号楼
93,陕西省,,雁塔区长延堡街道明德八英里7号楼
94,陕西省,,雁塔区长延堡街道明德八英里小区1号楼
95,陕西省,,雁塔区长延堡街道明德门北社区15号楼
96,陕西省,,雁塔区长延堡街道明德门西区42号楼
97,陕西省,,雁塔区长延堡街道潘家庄
98,陕西省,,雁塔区长延堡街道融尚第十区6号楼
99,陕西省,,雁塔区长延堡街道伟丰花园小区13号楼
100,陕西省,,雁塔区长延堡街道鑫泰园西区22号
101,陕西省,,雁塔区长延堡街道杨家村南区1幢
102,陕西省,,雁塔区长延堡街道长安南路170号象牙宫寓7号楼
103,陕西省,,雁塔区长延堡街道长安中路东八里新村4号楼
104,陕西省,,雁塔区长延堡街道丈八东路2号家属院1、2号楼
105,陕西省,,雁塔区长延堡街道长丰园小区1期2号楼、2期15号楼
106,陕西省,,雁塔区长延堡街道中环国际城西区2号楼
107,陕西省,,雁塔区长延堡街道紫郡长安小区北区F5栋、F6栋
108,陕西省,,长安区郭杜街道翠堤湾小区1号楼
109,陕西省,,长安区郭杜街道南小张村
110,陕西省,,长安区郭杜街道文苑中路18号2号楼
111,陕西省,,长安区韦曲街道瓜洲村
112,陕西省,,长安区韦曲街道南里王村
113,陕西省,,长安区韦曲街道西韦北堡德佳公寓77号
114,陕西省,,长安区韦曲街道长安剧团家属院
115,陕西省,,长安区韦曲街道智慧城31号楼
116,浙江省,上虞区曹娥街道大通超市（舜杰路店）,
117,浙江省,上虞区曹娥街道银河社区,
118,浙江省,上虞区曹娥街道振兴社区,
119,浙江省,,上虞区百官街道城南社区
120,浙江省,,上虞区百官街道恒利社区
121,浙江省,,上虞区东关街道大西庄村马家自然村
122,浙江省,,上虞区道墟街道汇联村
123,浙江省,,上虞区道墟街道积山村诸家自然村
124,浙江省,,上虞区梁湖街道天香华庭小区香榭居17幢
125,浙江省,,上虞区南阳社区新东方家园13幢
126,浙江省,,上虞区崧厦街道陆家村
127,浙江省,,上虞区驿亭镇鲁溪闸群英自然村
128,浙江省,,上虞区驿亭镇鲁溪闸下闸自然村
129,广西壮族自治区,东兴市江平镇万尾村,
130,广西壮族自治区,,东兴市江平镇江龙村周屋组
131,内蒙古自治区,,阿拉坦额莫勒镇
132,云南省,,呈贡区雨花街道营盘社区蓝光天娇城小区
133,广东省,,蔡边村九墩区112号
134,广东省,,蔡边村金丽路五巷20号
135,广东省,,蔡边村沙井街76-80号
136,广东省,,东莞市大朗镇大井头社区碧桂园凤妍苑5幢3单元
137,广东省,,大井头社区怡安路63号怡安时尚公寓
138,广东省,,大朗镇长富社区碧桂园首座3栋
139,广东省,,大朗镇长塘社区长塘花街二街(133号、143号、163号)
140,广东省,,水平村红荔西区金宝公寓
141,广东省,,长塘社区第一工业区一街92-146号
142,广东省,,长塘社区三区一路197-199号君安雅居
143,安徽省,,埇桥区大营镇大营新村
